#
#  rpom246200cyc 24.0 Genes link table generated on Mon Apr 20, 2020
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
G1G48-1075	Q5LUJ8		
G1G48-2951	Q5LPE6		
G1G48-3997			
G1G48-622	Q5LVT1		
G1G48-4048			
G1G48-2209	Q5LRF7		
G1G48-585	Q5LVW7		
G1G48-3735	Q5LM85		
G1G48-3219	Q5LNN4		
G1G48-1152	Q5LUC2		
G1G48-1274			
G1G48-1279			
G1G48-1006	Q5LUQ6		
G1G48-545	Q5LW05		
G1G48-817			
G1G48-4033	Q5LLF1		
G1G48-2308	Q5LR60		
G1G48-754			
G1G48-1702	Q5LSU4		
G1G48-688	Q5LVM2		
G1G48-4413	Q5LKE5		
G1G48-2147	Q5LRL6		
G1G48-1906	Q5LS98		
G1G48-2883			
G1G48-924	Q5LUY8		
G1G48-4174			
G1G48-1984	Q5LS24		
G1G48-3936	Q5LLP7		
G1G48-3008	Q5LP88		
G1G48-320	Q5LXA3		
G1G48-2528	Q5LQK3		
G1G48-2982	Q5LPB4	prpE	
G1G48-1840	Q5LSG5		
G1G48-1774			
G1G48-3276	Q5LNH9		
G1G48-3423			
G1G48-2915	Q5LPI2		
G1G48-251		rrf	
G1G48-1166	Q5LUA8		
G1G48-1494	Q5LTF1		
G1G48-424	Q5LWC5		
G1G48-1240			
G1G48-3378	Q5LN86		
G1G48-773	Q5LVD9		
G1G48-2460	Q5LQS1		
G1G48-1505	Q5LTE0		
G1G48-1721	Q5LSS4		
G1G48-3405			
G1G48-1944	Q5LS60		
G1G48-74			
G1G48-2353	Q5LR16		
G1G48-944	Q5LUW5		
G1G48-3127	Q5LNX5		
G1G48-309	Q5LX94		
G1G48-3441	Q5LN23		
G1G48-3534	Q5LMT2		
G1G48-1496	Q5LTE9		
G1G48-3913	Q5LLR9		
G1G48-1199	Q5LU78		
G1G48-184	Q5LWX3		
G1G48-628	Q5LVS6		
G1G48-2165	Q5LRK0		
G1G48-54	Q5LWK4		
G1G48-3633	Q5LMI6		
G1G48-3571	Q5LMP7		
G1G48-3320	Q5LNE1		
G1G48-3369	Q5LN94		
G1G48-2062			
G1G48-3315		rrf	
G1G48-2086	Q5LRS7		
G1G48-3197	Q5LNQ6		
G1G48-3393	Q5LN71		
G1G48-3827	Q5LLZ7		
G1G48-631			
G1G48-3134	Q5LNW8		
G1G48-1448	Q5LTJ8		
G1G48-2960			
G1G48-3476	Q5LMY8		
G1G48-3928	Q5LLQ5		
G1G48-970	Q5LUT9		
G1G48-696	Q5LVL4		
G1G48-3921			
G1G48-1755	Q5LSP6		
G1G48-285	Q5LX64		
G1G48-1740	Q5LSQ9		
G1G48-486			
G1G48-2391	Q5LQY1		
G1G48-2674	Q5LQ67		
G1G48-1213			
G1G48-874	Q5LV38		
G1G48-2138	Q5LRM5		
G1G48-2886	Q5LPL2		
G1G48-2869	Q5LPM9	pntB	
G1G48-3581	Q5LMN7		
G1G48-3642	Q5LMH7	fadH	
G1G48-2862	Q5LPN6		
G1G48-2515			
G1G48-3776	Q5LM47		
G1G48-3848	Q5LLX7		
G1G48-73	Q5LWM1		
G1G48-2909	Q5LPI8		
G1G48-79	Q5LWN3		
G1G48-2488			
G1G48-3498	Q5LMW6		
G1G48-2881	Q5LPL7		
G1G48-125	Q5LWS8		
G1G48-2278	Q5LR89		
G1G48-1954	Q5LS51		
G1G48-4363	Q5LKJ6		
G1G48-1517	Q5LTC8		
G1G48-3341	Q5LNC1		
G1G48-2643			
G1G48-4150	Q5LL49		
G1G48-832			
G1G48-151	Q5LWT8		
G1G48-4120	Q5LL78		
G1G48-1581			
G1G48-2579	Q5LQF4		
G1G48-576	Q5LVX6		
G1G48-3318			
G1G48-1369			
G1G48-3999	Q5LLI5		
G1G48-1220			
G1G48-1722	Q5LSS3		
G1G48-3745	Q5LM76		
G1G48-2425	Q5LQV1		
G1G48-3351			
G1G48-2222	Q5LRE6		
G1G48-4302	Q5LKQ3		
G1G48-4403	Q5LKF5		
G1G48-890	Q5LV23		
G1G48-3684			
G1G48-1967	Q5LS41		
G1G48-200	Q3V7J8		
G1G48-473	Q5LW75		
G1G48-3644	Q5LMH5		
